uni_name,uni_cd_name,department_name,qs_world_rank,us_news_rank_world,us_rank,law_school_rank_us,business_school_rank_us,medicine_school_rank_us,medicine_school_rank_us,gpa,gre,toefl,ielts,gmat,ctry_cd,number_of_applications,number_of_admissions
Northwestern University,NORTHWESTERN,General,,,,,,,,"3,74",325,105,,,,3218,2366
Northwestern University,NORTHWESTERN,McCormick School of Engineering,,,,,,,,"3,79",325,105,,,,704,503
Northwestern University,NORTHWESTERN,Weinberg College of Arts&Sciences,,,,,,,,"3,86",325,104,,,,28,24
Northwestern University,NORTHWESTERN,"School of Journalism, Media, Integrated Marketing Communications",,,,,,,,"3,74",324,105,,,,4,3
Northwestern University,NORTHWESTERN,School of Communication,,,,,,,,0,0,0,,,,0,0
Northwestern University,NORTHWESTERN,School of Professional Stidoes,,,,,,,,"3,7",319,93,,,,3,3
Northwestern University,NORTHWESTERN,Feinberg School of Medicine,,,,,,,,"3,75",321,107,,,,6,5
Northwestern University,NORTHWESTERN,School of Education & Social Policy,,,,,,,,0,0,0,,,,0,0
Northwestern University,NORTHWESTERN,Kellogg School of Management,,,,,,,,0,0,0,,,,1,0
Duke University,DUKE,General,,,,,,,,"3,8",326,105,,,,4835,3338
Duke University,DUKE,Trinity College of Arts & Sciences,,,,,,,,"3,86",327,107,,,,135,102
Duke University,DUKE,Pratt school of engineering,,,,,,,,"3,8",326,105,,,,784,620
Duke University,DUKE,Department of Computer Science,,,,,,,,"3,84",328,109,,,,210,124
Duke University,DUKE,School of Graduate,,,,,,,,0,0,0,,,,1,1
Duke University,DUKE,Social Science Research Institute,,,,,,,,"3,79",329,105,,,,81,37
Duke University,DUKE,School of Medicine,,,,,,,,"3,71",327,105,,,,84,72
Duke University,DUKE,Department of Mathematics,,,,,,,,"3,7",327,105,,,,3,1
Duke University,DUKE,School of Business,,,,,,,,"3,76",330,106,,,,85,50
Duke University,DUKE,Trinity College of Arts and Sciences,,,,,,,,0,0,0,,,,0,0
Duke University,DUKE,SANFORD SCHOOL OF PUBLIC POLICY,,,,,,,,"3,54",324,105,,,,36,28
National University of Singapore,NUS,General,,,,,,,,"3,7",324,100,,,,2180,1836
National University of Singapore,NUS,School of Computing,,,,,,,,"3,81",325,105,,,,122,112
National University of Singapore,NUS,NUS Engineering,,,,,,,,"3,71",320,104,,,,29,23
National University of Singapore,NUS,Risk Management Institute,,,,,,,,"3,82",329,105,,,,29,29
National University of Singapore,NUS,Faculty of Science,,,,,,,,"3,72",325,105,,,,145,111
National University of Singapore,NUS,Integrative Sciences and Engineering Programme,,,,,,,,"3,88",328,108,,,,8,7
National University of Singapore,NUS,Business School,,,,,,,,"3,6",326,109,,,,27,22
National University of Singapore,NUS,The Logistics Institute - Asia Pacific,,,,,,,,0,0,0,,,,0,0
National University of Singapore,NUS,Faculty of Arts and Social Sciences,,,,,,,,0,0,0,,,,0,0
National University of Singapore,NUS,NUS School of Continuing and Lifelong Education,,,,,,,,"3,5",320,100,,,,3,3
National University of Singapore,NUS,Institute of Systems Science,,,,,,,,0,0,0,,,,1,1
National University of Singapore,NUS,School of Law,,,,,,,,0,0,0,,,,0,0
University of Melbourne,MELBOURNE,General,,,,,,,,"3,57",321,100,,,,335,307
University of Sydney,SYDNEY. AU,General,,,,,,,,"3,5",320,100,,,,349,341
ETH Zurich,ETHZ,General,,,,,,,,"3,9",325,105,,,,942,581
ETH Zurich,ETHZ,Department of Computer Science,,,,,,,,"3,91",325,107,,,,166,91
ETH Zurich,ETHZ,Department of Information Technology and Electrical Engineering,,,,,,,,"3,94",326,105,,,,56,39
ETH Zurich,ETHZ,Department of Mechanical and Process Engineering,,,,,,,,"3,91",325,108,,,,49,36
ETH Zurich,ETHZ,Department of Biosystems Science and Engineering,,,,,,,,"3,8",326,107,,,,12,11
ETH Zurich,ETHZ,Department of Materials,,,,,,,,"3,75",329,103,,,,5,5
ETH Zurich,ETHZ,Department of Mathematics,,,,,,,,"3,8",326,107,,,,23,14
ETH Zurich,ETHZ,Department of Chemistry and Applied Biosciences,,,,,,,,0,0,0,,,,2,2
ETH Zurich,ETHZ,Department of Earth Sciences,,,,,,,,0,0,0,,,,0,0
ETH Zurich,ETHZ,"Department of Civil, Environmental and Geomatic Engineering",,,,,,,,90,0,100,,,,2,2
ETH Zurich,ETHZ,"Department of Humanities, Social and Political Sciences",,,,,,,,0,0,0,,,,1,0
ETH Zurich,ETHZ,Department of Environmental Systems Science,,,,,,,,"3,8",0,109,,,,1,1
ETH Zurich,ETHZ,"Department of Management, Technology, and Economics",,,,,,,,"3,73",325,104,,,,4,3
Nanyang Technological University,NTU,General,,,,,,,,"3,6",323,100,,,,1299,1193
Nanyang Technological University,NTU,Nanyang Business School,,,,,,,,"3,56",326,109,,,,23,19
Nanyang Technological University,NTU,School of Electrical and Electronic Engineering,,,,,,,,"3,6",321,102,,,,9,9
Nanyang Technological University,NTU,College of Engineering,,,,,,,,"3,58",323,102,,,,37,36
Nanyang Technological University,NTU,College of Science,,,,,,,,"3,7",325,104,,,,54,44
Nanyang Technological University,NTU,Wee Kim Wee School of Communication and Information,,,,,,,,"3,69",325,107,,,,5,5
Nanyang Technological University,NTU,School of Humanities,,,,,,,,0,0,0,,,,0,0
Nanyang Technological University,NTU,Nanyang Technopreneurship Center,,,,,,,,"2,8",0,109,,,,1,1
Nanyang Technological University,NTU,School of Mechanical and Aerospace Engineering,,,,,,,,0,0,0,,,,0,0
New York University,NYU,General,,,,,,,,"3,71",325,105,,,,4378,3510
New York University,NYU,School of Global Public Health,,,,,,,,"3,52",322,101,,,,57,57
New York University,NYU,Center for Data Science,,,,,,,,"3,85",329,108,,,,226,200
New York University,NYU,Courant Institute of Mathematical Sciences,,,,,,,,"3,72",325,105,,,,500,422
New York University,NYU,"Steinhardt School of Culture, Education, and Human Development",,,,,,,,"3,6",324,103,,,,25,18
New York University,NYU,Leonard N. Stern School of Business,,,,,,,,"3,66",326,105,,,,15,14
New York University,NYU,Arts & Science,,,,,,,,"3,8",324,106,,,,30,26
New York University,NYU,School of Professional Studies,,,,,,,,"3,42",319,102,,,,31,31
New York University,NYU,Tisch School of the Arts,,,,,,,,"3,71",322,106,,,,29,27
New York University,NYU,Robert F. Wagner Graduate School of Public Service,,,,,,,,"3,61",327,105,,,,6,6
New York University,NYU,The Center for Urban Science and Progress (CUSP),,,,,,,,"3,47",323,100,,,,11,10
New York University,NYU,Grossman School of Medicine,,,,,,,,"3,88",325,105,,,,7,3
New York University,NYU,Silver School of Social Work,,,,,,,,0,0,0,,,,0,0
Washington University in St. Louis,WUSTL,General,,,,,,,,"3,6",323,102,,,,3042,2523
Washington University in St. Louis,WUSTL,McKelvey School of Engineering,,,,,,,,"3,63",323,103,,,,546,432
Washington University in St. Louis,WUSTL,Olin Business School,,,,,,,,"3,62",325,104,,,,142,137
Washington University in St. Louis,WUSTL,Arts & Sciences,,,,,,,,"3,64",323,102,,,,20,18
Washington University in St. Louis,WUSTL,School of Medicine,,,,,,,,"3,41",324,101,,,,20,15
Washington University in St. Louis,WUSTL,Brown School,,,,,,,,"3,62",327,96,,,,5,5
King's College London,KCL,General,,,,,,,,"3,61",321,100,,,,502,376
University of Edinburgh,EDINBURGH,General,,,,,,,,"3,66",322,100,,,,1147,898
University of Edinburgh,EDINBURGH,College of Science & Engineering,,,,,,,,"3,77",323,103,,,,82,72
University of Edinburgh,EDINBURGH,"College of Arts, Humanities & Social Sciences",,,,,,,,"3,6",0,99,,,,5,4
University of Edinburgh,EDINBURGH,College of Medicine & Veterinary Medicine,,,,,,,,0,0,0,,,,0,0
University of British Columbia,UBC,General,,,,,,,,"3,75",325,104,,,,1192,746
University of British Columbia,UBC,Faculty of Science,,,,,,,,"3,75",323,105,,,,152,91
University of British Columbia,UBC,Faculty of Applied Science,,,,,,,,"3,8",325,104,,,,138,90
University of British Columbia,UBC,Vancouver School of Economics,,,,,,,,0,0,0,,,,1,1
University of British Columbia,UBC,Graduate School,,,,,,,,"3,75",319,104,,,,4,3
University of British Columbia,UBC,School of business,,,,,,,,"3,22",321,109,,,,8,5
University of British Columbia,UBC,Faculty of Education,,,,,,,,0,0,0,,,,0,0
University of British Columbia,UBC,Department of Physics & Astronomy,,,,,,,,0,0,0,,,,0,0
University of Queensland,QUEENSLAND,General,,,,,,,,"3,36",317,95,,,,76,71
University of New South Wales,UNSW,General,,,,,,,,"3,4",320,100,,,,171,166
Monash University,MONASH,General,,,,,,,,"3,35",322,96,,,,61,60
University of Amsterdam,UVA.NL,General,,,,,,,,"3,6",321,100,,,,322,282
"University of North Carolina, Chapel Hill",UNC,General,,,,,,,,"3,7",325,104,,,,925,666
"University of North Carolina, Chapel Hill",UNC,College of Arts & Science,,,,,,,,"3,78",325,104,,,,55,31
"University of North Carolina, Chapel Hill",UNC,GILLINGS SCHOOL OF GLOBAL PUBLIC HEALTH,,,,,,,,"3,7",325,105,,,,61,56
"University of North Carolina, Chapel Hill",UNC,School of Information and Library Science,,,,,,,,"3,5",321,103,,,,69,58
